UnitID,SchoolName,StateCode,Sector,OpenAdmissionPolicy,GPA,SchoolRank,SecondarySchoolRecord,Recs,ApplicantsTotal,ApplicantsMen,ApplicantsWomen,AdmissionsTotal,AdmissionsMen,AdmissionsWomen,EnrolledTotal,EnrolledMen,EnrolledWomen,SAT_RW_25,SAT_RW_75,SAT_Math_25,SAT_Math_75,ACT_Composite_25,ACT_Composite_75,ACT_English_25,ACT_English_75,ACT_Math_25,ACT_Math_75,SchoolYear
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,25006.0,30417.0,5574.0,7085.0,1986.0,2749.0,4735.0,55423.0,12659.0,560.0,680.0,590.0,720.0,24.0,31.0,24.0,32.0,25.0,33.0,2009
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,25448.0,30246.0,5494.0,6684.0,1866.0,2606.0,4472.0,55694.0,12178.0,560.0,680.0,590.0,720.0,24.0,31.0,24.0,32.0,25.0,33.0,2010
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,61545.0,28289.0,33256.0,15719.0,7313.0,8406.0,4636.0,1986.0,2650.0,570.0,680.0,610.0,740.0,25.0,31.0,25.0,32.0,26.0,33.0,2011
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,61556.0,28296.0,33260.0,16689.0,7303.0,8386.0,5825.0,2590.0,3235.0,560.0,690.0,610.0,740.0,25.0,31.0,25.0,32.0,26.0,33.0,2012
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,72676.0,33663.0,39013.0,15981.0,7177.0,8804.0,5620.0,2417.0,3203.0,560.0,680.0,600.0,760.0,25.0,31.0,24.0,32.0,25.0,33.0,2013
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,86537.0,40677.0,45860.0,16059.0,7148.0,8911.0,5764.0,2394.0,3370.0,580.0,710.0,610.0,750.0,27.0,33.0,28.0,34.0,27.0,34.0,2014
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,92690.0,43336.0,49354.0,16016.0,7140.0,8876.0,5679.0,2380.0,3299.0,580.0,710.0,600.0,760.0,28.0,33.0,28.0,34.0,27.0,34.0,2015
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,97112.0,45362.0,51750.0,17473.0,7513.0,9960.0,6545.0,2605.0,3940.0,570.0,710.0,590.0,760.0,28.0,33.0,28.0,35.0,27.0,34.0,2016
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,102225.0,46940.0,55285.0,16456.0,7138.0,9318.0,6038.0,2423.0,3615.0,620.0,710.0,600.0,740.0,29.0,34.0,28.0,35.0,27.0,34.0,2017
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,113754.0,52198.0,61556.0,15970.0,6930.0,9040.0,6240.0,2508.0,3732.0,650.0,740.0,640.0,780.0,30.0,34.0,29.0,35.0,28.0,34.0,2018
110662,University of California-Los Angeles,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,111321.0,50976.0,60345.0,13720.0,5933.0,7787.0,5920.0,2337.0,3583.0,650.0,740.0,650.0,790.0,29.0,35.0,28.0,35.0,27.0,34.0,2019
